NAME NODE;CPU (cores);MEMORY (bytes);ACTIVE PODS;TASK;PARAMETER;EXECUTION START TIME (seconds)
cs-modeling1;2000m;1680Mi;5;3;4;1507
cs-modeling1;1968m;2346Mi;4;1;2;1576
cs-modeling1;1962m;2366Mi;5;3;3;1643
cs-modeling1;1977m;1979Mi;5;1;4;1711
cs-modeling1;2000m;1259Mi;5;1;4;1780
cs-modeling1;1999m;1373Mi;3;3;2;1845
cs-modeling1;1976m;1132Mi;4;1;5;1912
cs-modeling1;1971m;1205Mi;4;3;3;1979
cs-modeling1;1990m;1228Mi;5;1;1;2046
cs-modeling1;1988m;1311Mi;5;3;1;2127
cs-modeling1;1784m;1037Mi;2;1;1;2199
cs-modeling1;1999m;1058Mi;3;1;2;2266
cs-modeling1;1989m;1075Mi;3;1;5;2334
cs-modeling1;1987m;1073Mi;3;2;2;2402
cs-modeling1;1988m;1057Mi;2;1;3;2472
cs-modeling1;1999m;1050Mi;2;1;4;2538
cs-modeling1;2001m;1062Mi;3;3;4;2607
cs-modeling1;1995m;1247Mi;4;3;5;2673
cs-modeling1;1998m;1865Mi;4;1;1;2735
cs-modeling1;1961m;1853Mi;4;2;2;2803
cs-modeling1;2001m;1879Mi;4;3;2;2871
cs-modeling1;2001m;1226Mi;3;1;1;2950
cs-modeling1;1765m;1036Mi;3;2;5;3011
cs-modeling1;359m;1061Mi;1;3;3;3072
cs-modeling1;805m;1012Mi;1;1;5;3138
cs-modeling1;1838m;1044Mi;2;1;4;3204
cs-modeling1;1996m;1053Mi;3;2;5;3270
cs-modeling1;2000m;1076Mi;4;3;5;3332
cs-modeling1;1989m;1417Mi;5;3;1;3398
cs-modeling1;1983m;1532Mi;5;2;5;3474
cs-modeling1;1960m;1563Mi;5;1;1;3542
cs-modeling1;2000m;1756Mi;5;1;4;3610
cs-modeling1;1894m;1094Mi;2;1;2;3681
cs-modeling1;2000m;1072Mi;3;2;1;3749
cs-modeling1;2000m;1077Mi;4;1;4;3816
cs-modeling1;2000m;1102Mi;5;2;2;3883
cs-modeling1;1995m;1082Mi;2;2;3;3944
cs-modeling1;1908m;1040Mi;2;1;3;4012
cs-modeling1;1977m;1055Mi;3;2;2;4079
cs-modeling1;1988m;1081Mi;4;3;5;4146
cs-modeling1;2001m;1573Mi;4;3;2;4208
cs-modeling1;980m;1019Mi;1;1;5;4276
cs-modeling1;1830m;1041Mi;2;3;4;4342
cs-modeling1;1993m;1297Mi;3;3;2;4409
cs-modeling1;1976m;1476Mi;4;3;3;4474
cs-modeling1;1996m;1844Mi;2;3;1;4535
cs-modeling1;944m;1016Mi;1;3;4;4601
cs-modeling1;1778m;1283Mi;2;1;4;4667
cs-modeling1;1971m;1512Mi;3;2;2;4733
cs-modeling1;2001m;1082Mi;3;1;5;4807
cs-modeling1;1953m;1105Mi;2;2;4;4883
cs-modeling1;1990m;1065Mi;3;2;3;4950
cs-modeling1;1988m;1076Mi;4;2;2;5017
cs-modeling1;2000m;1114Mi;5;2;1;5084
cs-modeling1;1986m;1124Mi;1;3;4;5146
cs-modeling1;1728m;1232Mi;2;2;5;5212
cs-modeling1;1977m;1524Mi;3;1;2;5279
cs-modeling1;2016m;1076Mi;3;2;3;5347
cs-modeling1;1991m;1336Mi;4;3;5;5408
cs-modeling1;1292m;1027Mi;1;2;5;5475
cs-modeling1;1932m;1046Mi;2;2;5;5541
cs-modeling1;1974m;1067Mi;3;2;1;5608
cs-modeling1;1996m;1083Mi;4;2;1;5675
cs-modeling1;2001m;1108Mi;1;1;2;5736
cs-modeling1;928m;1033Mi;1;2;5;5801
cs-modeling1;1702m;1049Mi;2;2;4;5866
cs-modeling1;1987m;1069Mi;3;1;5;5933
cs-modeling1;1997m;1260Mi;4;3;3;6000
cs-modeling1;1964m;1083Mi;2;2;1;6070
cs-modeling1;2002m;1061Mi;3;1;1;6137
cs-modeling1;1996m;1088Mi;4;3;5;6203
cs-modeling1;;;4;1;3;6272
cs-modeling1;1989m;1375Mi;3;2;5;6333
cs-modeling1;1989m;1117Mi;2;3;2;6403
cs-modeling1;1794m;1041Mi;3;2;1;6469
cs-modeling1;1923m;1055Mi;2;2;2;6538
cs-modeling1;1971m;1063Mi;3;2;2;6605
cs-modeling1;1015m;1031Mi;1;1;4;6666
cs-modeling1;1784m;1037Mi;2;2;4;6732
cs-modeling1;1976m;1049Mi;3;2;3;6799
cs-modeling1;1980m;1076Mi;4;2;3;6866
cs-modeling1;2000m;1078Mi;3;3;3;6928
cs-modeling1;884m;1011Mi;1;1;3;6995
cs-modeling1;2006m;1032Mi;2;2;5;7062
cs-modeling1;1980m;1063Mi;3;2;5;7129
cs-modeling1;1977m;1119Mi;4;1;1;7195
cs-modeling1;887m;1024Mi;1;2;5;7264
cs-modeling1;1808m;1034Mi;2;3;3;7330
cs-modeling1;1999m;1210Mi;3;1;4;7397
cs-modeling1;1985m;1360Mi;4;1;5;7463
cs-modeling1;1954m;1076Mi;3;3;1;7525
cs-modeling1;1985m;1053Mi;2;2;3;7594
cs-modeling1;1972m;1064Mi;3;1;1;7661
cs-modeling1;1978m;1075Mi;4;1;2;7728
cs-modeling1;1986m;1161Mi;5;3;2;7794
cs-modeling1;1034m;1036Mi;1;1;2;7856
cs-modeling1;1414m;1029Mi;1;3;4;7920
cs-modeling1;1627m;1372Mi;2;1;5;7986
cs-modeling1;1983m;1555Mi;3;2;5;8052
cs-modeling1;2000m;1205Mi;3;1;5;8114
cs-modeling1;1987m;1063Mi;3;1;4;8182
cs-modeling1;1997m;1079Mi;4;1;3;8249
cs-modeling1;1992m;1094Mi;5;1;3;8316
cs-modeling1;2000m;1137Mi;5;1;2;8429
cs-modeling1;1982m;1127Mi;5;2;4;8665
cs-modeling1;1989m;1113Mi;2;2;2;8726
cs-modeling1;618m;1017Mi;1;2;4;8792
cs-modeling1;1833m;1038Mi;2;2;2;8859
cs-modeling1;1989m;1079Mi;3;1;5;8926
cs-modeling1;1981m;1088Mi;4;1;1;8993
cs-modeling1;;;2;2;3;9056
cs-modeling1;2001m;1059Mi;3;3;2;9123
cs-modeling1;1997m;1160Mi;3;2;5;9191
cs-modeling1;1990m;1058Mi;3;3;4;9259
cs-modeling1;275m;1019Mi;3;2;1;9321
cs-modeling1;1795m;1038Mi;1;2;4;9387
cs-modeling1;1936m;1050Mi;2;3;3;9453
cs-modeling1;1983m;1324Mi;3;1;3;9520
cs-modeling1;1974m;1387Mi;4;2;3;9587
cs-modeling1;663m;1064Mi;1;3;2;9648
cs-modeling1;940m;1031Mi;1;2;5;9713
cs-modeling1;1879m;1046Mi;2;1;4;9779
cs-modeling1;1980m;1061Mi;3;1;3;9846
cs-modeling1;1979m;1081Mi;4;1;3;9908
cs-modeling1;1986m;1082Mi;4;2;1;9976
cs-modeling1;1990m;1107Mi;4;3;5;10044
cs-modeling1;1990m;1153Mi;4;2;4;10119
cs-modeling1;1972m;1439Mi;4;1;2;10186
cs-modeling1;1336m;1080Mi;1;3;2;10250
cs-modeling1;822m;1011Mi;1;2;1;10315
cs-modeling1;1812m;1044Mi;2;3;1;10381
cs-modeling1;929m;1018Mi;1;2;3;10446
cs-modeling1;1668m;1036Mi;2;3;5;10508
cs-modeling1;79m;1016Mi;1;1;4;10569
